Board Size,Column Constraints,Row Constraints,Approach,Result,Options,Runtime,Memory,Memory_used,Program,Resumptions,Entailments,Prunings,Backtracks,Constraints
11,2-8 | ,,automaton_nxn,success,leftmost-step-up,94,20774336,18641952,9401440,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,leftmost-step-down,47,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,leftmost-enum-up,62,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,leftmost-enum-down,79,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,leftmost-bisect-up,62,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,leftmost-bisect-down,78,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,leftmost-median-up,62,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,leftmost-median-down,47,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,leftmost-middle-up,47,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,leftmost-middle-down,63,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,min-step-up,62,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,min-step-down,94,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,min-enum-up,47,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,min-enum-down,62,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,min-bisect-up,47,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,min-bisect-down,62,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,min-median-up,63,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,min-median-down,62,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,min-middle-up,78,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,min-middle-down,63,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,max-step-up,63,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,max-step-down,62,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,max-enum-up,63,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,max-enum-down,78,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,max-bisect-up,62,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,max-bisect-down,46,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,max-median-up,63,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,max-median-down,62,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,max-middle-up,47,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,max-middle-down,63,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,ff-step-up,62,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,ff-step-down,62,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,ff-enum-up,63,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,ff-enum-down,47,20774336,18642096,9401584,153284,43287,95708,188,3130
11,2-8 | ,,automaton_nxn,success,ff-bisect-up,63,20774336,18642096,9401584,137185,33327,84020,167,3130
11,2-8 | ,,automaton_nxn,success,ff-bisect-down,62,20774336,18642096,9401584,153284,43287,95708,188,3130
